nohup: ignoring input
ny2 2018 11
ny2 2018 12
ny3 2018 1
ny3 2018 2
ny3 2018 3
ny3 2018 4
ny3 2018 5
ny3 2018 6
ny3 2018 7
ny3 2018 8
ny3 2018 9
ny3 2018 10
ny3 2018 11
ny3 2018 12
ny4 2018 1
ny4 2018 2
ny4 2018 3
ny4 2018 4
ny4 2018 5
ny4 2018 6
ny4 2018 7
ny4 2018 8
ny4 2018 9
ny4 2018 10
ny4 2018 11
ny4 2018 12
ny5 2018 1
ny5 2018 2
ny5 2018 3
ny5 2018 4
ny5 2018 5
ny5 2018 6
ny5 2018 7
ny5 2018 8
ny5 2018 9
ny5 2018 10
ny5 2018 11
ny5 2018 12
ny6 2018 1
ny6 2018 2
ny6 2018 3
ny6 2018 4
ny6 2018 5
ny6 2018 6
ny6 2018 7
ny6 2018 8
ny6 2018 9
ny6 2018 10
ny6 2018 11
ny6 2018 12
corn1 2018 1
corn1 2018 2
corn1 2018 3
corn1 2018 4
corn1 2018 5
corn1 2018 6
corn1 2018 7
corn1 2018 8
corn1 2018 9
corn1 2018 10
corn1 2018 11
corn1 2018 12
corn2 2018 1
corn2 2018 2
corn2 2018 3
corn2 2018 4
corn2 2018 5
corn2 2018 6
corn2 2018 7
corn2 2018 8
corn2 2018 9
corn2 2018 10
corn2 2018 11
corn2 2018 12
corn3 2018 1
corn3 2018 2
corn3 2018 3
corn3 2018 4
corn3 2018 5
corn3 2018 6
corn3 2018 7
corn3 2018 8
corn3 2018 9
corn3 2018 10
corn3 2018 11
corn3 2018 12
corn4 2018 1
corn4 2018 2
corn4 2018 3
corn4 2018 4
corn4 2018 5
corn4 2018 6
corn4 2018 7
corn4 2018 8
corn4 2018 9
corn4 2018 10
corn4 2018 11
corn4 2018 12
corn5 2018 1
corn5 2018 2
corn5 2018 3
corn5 2018 4
corn5 2018 5
corn5 2018 6
corn5 2018 7
corn5 2018 8
corn5 2018 9
corn5 2018 10
corn5 2018 11
corn5 2018 12
corn6 2018 1
corn6 2018 2
corn6 2018 3
corn6 2018 4
corn6 2018 5
corn6 2018 6
corn6 2018 7
corn6 2018 8
corn6 2018 9
corn6 2018 10
corn6 2018 11
corn6 2018 12
corn7 2018 1
corn7 2018 2
corn7 2018 3
corn7 2018 4
corn7 2018 5
corn7 2018 6
corn7 2018 7
corn7 2018 8
corn7 2018 9
corn7 2018 10
corn7 2018 11
corn7 2018 12
